Municipio,Tasa paro,Parados,Poblacion
Ceuta - Ceuta - Ceuta,"35,54%",12.239,85.144
"Línea de la Concepción, La - Cádiz - Andalucía","30,82%",7.983,62.940
Jerez de la Frontera - Cádiz - Andalucía,"29,93%",26.350,212.879
Sanlúcar de Barrameda - Cádiz - Andalucía,"29,46%",8.420,68.037
Talavera de la Reina - Toledo - Castilla La Mancha,"29,14%",10.201,83.009
Pozuelo de Alarcón - Madrid - Madrid,"4,83%",2.213,86.172
Boadilla del Monte - Madrid - Madrid,"4,98%",1.395,52.626
Calvià - Illes Balears - Islas Baleares,"5,16%",1.335,49.333
Sant Cugat del Vallès - Barcelona - Cataluña,"5,41%",2.606,90.664
Majadahonda - Madrid - Madrid,"5,47%",2.100,71.785
Barbate - Cádiz - Andalucía,"33,99%",3.242,22.551
Arcos de la Frontera - Cádiz - Andalucía,"32,58%",4.248,30.741
"Carolina, La - Jaén - Andalucía","32,56%",2.183,15.306
Vejer de la Frontera - Cádiz - Andalucía,"32,36%",1.717,12.739
Chipiona - Cádiz - Andalucía,"31,01%",2.481,19.068
Formentera - Illes Balears - Islas Baleares,"2,36%",160,12.216
Sóller - Illes Balears - Islas Baleares,"3,17%",221,14.041
Santanyí - Illes Balears - Islas Baleares,"4,01%",245,12.112
Son Servera - Illes Balears - Islas Baleares,"4,27%",253,11.378
Santa Margalida - Illes Balears - Islas Baleares,"4,44%",271,11.958
Cebolla - Toledo - Castilla La Mancha,"41,08%",563,3.263
Alcaudete de la Jara - Toledo - Castilla La Mancha,"40,57%",266,1.703
Liétor - Albacete - Castilla La Mancha,"37,90%",186,1.200
Valle de la Serena - Badajoz - Extremadura,"35,37%",187,1.224
Alcalá de los Gazules - Cádiz - Andalucía,"33,81%",768,5.242
Aramaio - Álava - País Vasco,"2,01%",16,1.483
"Migjorn Gran, Es - Illes Balears - Islas Baleares","2,07%",14,1.370
Leciñena - Zaragoza - Aragón,"2,44%",12,1.162
Bujaraloz - Zaragoza - Aragón,"2,58%",12,1.005
Montferrer i Castellbò - Lleida - Cataluña,"3,08%",16,1.074
Palacios de Riopisuerga - Burgos - Castilla y León,"62,54%",6,24
Palanques - Castellón - Comunidad Valenciana,"54,16%",7,31
San Lorenzo de Tormes - Ávila - Castilla y León,"51,12%",5,37
Mochales - Guadalajara - Castilla La Mancha,"48,06%",5,48
Villamedianilla - Burgos - Castilla y León,"45,17%",2,12
Medinilla - Ávila - Castilla y León,0%,0,99
Villanueva de Argaño - Burgos - Castilla y León,0%,0,108
Belmonte de Campos - Palencia - Castilla y León,0%,0,33
Jabaloyas - Teruel - Aragón,0%,0,65
Santed - Zaragoza - Aragón,0%,0,61
